year,stFips,cropCd,yieldDev
1995,39,41,-0.04383611608432047
1996,39,41,-0.1407382473984187
1997,39,41,0.02392279622145688
1998,39,41,0.07026145908245154
1999,39,41,-0.06981375946098042
2000,39,41,0.07316348234781996
2001,39,41,-0.002774301712960858
2002,39,41,-0.37778169964567926
2003,39,41,0.09609209725369844
2004,39,41,0.09385520260448513
2005,39,41,-0.00792231921037919
2006,39,41,0.08679894768484524
2007,39,41,0.010647970361658788
2008,39,41,-0.09386697526593459
2009,39,41,0.14411470008252844
2010,39,41,0.07110188352549884
2011,39,41,0.02538577372262596
2012,39,41,-0.220199255664095
2013,39,41,0.13680125865338905
1980,40,41,-0.4135921062137463
1981,40,41,-0.3825587128738158
1982,40,41,-0.2413037849958788
1983,40,41,-0.08398757876394632
1984,40,41,-0.0868555742831588
1985,40,41,-0.06471124913221378
1986,40,41,-0.041917903400061664
1987,40,41,-0.024470605793766472
1988,40,41,-0.06969777024529257
1989,40,41,0.18773942702775323
1990,40,41,0.13455525934168405
1991,40,41,0.06518047708550577
1992,40,41,0.40090626369995613
1993,40,41,0.01784698648542749
1994,40,41,0.041162379465408475
1995,40,41,0.12215896658470805
1996,40,41,0.34310083951815645
1997,40,41,0.2609624151708716
1998,40,41,0.12348786088147148
1999,40,41,-0.01175843396541743
2000,40,41,0.2855704627873751
2001,40,41,0.0707743679551311
2002,40,41,0.03622546658702949
2003,40,41,0.02667738077662914
2004,40,41,0.17835778617722975
2005,40,41,-0.03838800928019525
2006,40,41,-0.18014492748930813
2007,40,41,0.1584111379922336
2008,40,41,-0.06936194362699845
2009,40,41,-0.20324751235707753
2010,40,41,0.09204923607822267
2011,40,41,-0.5933089369782663
2012,40,41,-0.19452701383380713
2013,40,41,0.07351565134455787
1980,46,41,-0.21276394159581424
1981,46,41,0.13272844291254804
1982,46,41,0.15567621245997124
1983,46,41,-0.17552308395912705
1984,46,41,0.012863324821560902
1985,46,41,0.27105862003431724
1986,46,41,0.18161325446632107
1987,46,41,0.17681314589671768
1988,46,41,-0.34192087094866047
1989,46,41,-0.15069881306234742
1990,46,41,0.0051225138323675945
1991,46,41,-0.09506267258481178
1992,46,41,-0.004378355612635533
1993,46,41,-0.3662237263503075
1994,46,41,0.21965409424235477
1995,46,41,-0.14089070782835064
1996,46,41,0.10126929515317067
1997,46,41,0.007484576967113273
1998,46,41,0.25653847616049064
1999,46,41,0.13283296648190443
2000,46,41,0.07060096446001755
2001,46,41,0.02824449716418219
2002,46,41,-0.2865241698348978
2003,46,41,-0.02526810689727823
2004,46,41,0.1370145287715904
2005,46,41,0.011404289472279934
2006,46,41,-0.35032219738759907
2007,46,41,0.002540931001376427
2008,46,41,0.10363362409123834
2009,46,41,0.2394747992232333
2010,46,41,0.07543081782753575
2011,46,41,0.05747575808639253
2012,46,41,-0.28197327621338747
2013,46,41,0.055108883567155965
1980,48,41,-0.16493805132455058
1981,48,41,0.17983918754454287
1982,48,41,0.05468382318840253
1983,48,41,-0.04275130788385332
1984,48,41,-0.10387887951026115
1985,48,41,0.04774524096527587
1986,48,41,0.09779184663613427
1987,48,41,0.05514277425344597
1988,48,41,-0.11920947657968367
1989,48,41,-0.08857183909158907
1990,48,41,-0.2032391957682455
1991,48,41,-0.027968238492811097
1992,48,41,0.15210326079892497
1993,48,41,0.05297430763729449
1994,48,41,0.09255712878794545
1995,48,41,0.00927280065086275
1996,48,41,-0.08154367610906281
1997,48,41,0.16816683124377396
1998,48,41,-0.258479111280622
1999,48,41,0.12008308229661128
2000,48,41,0.06721145182778297
2001,48,41,-0.009325556808109843
2002,48,41,-0.07176561613673303
2003,48,41,-0.00457729196292302
2004,48,41,0.18738448513711078
2005,48,41,-0.047906277069481584
2006,48,41,-0.08240917224891542
2007,48,41,0.24154323888415144
2008,48,41,0.004678454303104294
2009,48,41,-0.017869255866043057
2010,48,41,0.18152346384771625
2011,48,41,-0.40227904535757
2012,48,41,-0.02886284775525739
2013,48,41,0.04173080717174095
1980,53,41,-0.2916780288353923
1981,53,41,-0.15571581199538923
1982,53,41,0.007515168502807357
1983,53,41,0.010423650338220796
1984,53,41,0.06209713187266402
1985,53,41,0.03310488962280398
1986,53,41,0.08470316466760229
1987,53,41,0.019025350913598974
1988,53,41,0.013665800389788903
1989,53,41,0.07794389550022497
1990,53,41,0.03261742468468281
1991,53,41,0.0728770549228937
1992,53,41,0.06735053862631858
1993,53,41,0.1038910964163249
1994,53,41,0.12282921199303858
1995,53,41,0.11454545171937967
1996,53,41,0.12083538891401222
1997,53,41,0.027631252076672996
1998,53,41,0.009042599193222553
1999,53,41,-0.01813436519587685
2000,53,41,0.004147216800929987
2001,53,41,-0.23926649581384674
2002,53,41,-0.1477055846444036
2003,53,41,-0.12954096826613276
2004,53,41,0.019101436374882798
2005,53,41,-0.1023689765705744
2006,53,41,-0.08080821408047417
2007,53,41,0.007058058132034232
2008,53,41,-0.09507473380327847
2009,53,41,0.06958982773136309
2010,53,41,0.02711763490384114
2011,53,41,0.15080505079451048
2012,53,41,0.06139125295075622
2013,53,41,-0.0607922775381926
1980,55,41,0.08905111460196045
1981,55,41,0.08074309373385366
1982,55,41,0.046263471312232095
1983,55,41,-0.12361838044674106
1984,55,41,0.024671640154459572
1985,55,41,0.01381795572009254
1986,55,41,0.1241633379957786
1987,55,41,0.09952214099974184
1988,55,41,-0.5589239475332778
1989,55,41,-0.008440129032389816
1990,55,41,0.08378531704673312
1991,55,41,0.11979388079693888
1992,55,41,-0.1326826194311984
1993,55,41,-0.3081625756469059
1994,55,41,0.2516767652210329
1995,55,41,0.009818444490034637
